1184,Vitamin K (Dihydrophylloquinone),UG
1185,Vitamin K (phylloquinone),UG
1186,Folic acid,UG
1187,"Folate, food",UG
1188,5-methyl tetrahydrofolate (5-MTHF),UG
1189,"Folate, not 5-MTHF",UG
1190,"Folate, DFE",UG
1191,10-Formyl folic acid (10HCOFA),UG
1192,5-Formyltetrahydrofolic acid (5-HCOH4,UG
1193,Tetrahydrofolic acid (THF),UG
1194,"Choline, free",MG
1195,"Choline, from phosphocholine",MG
1196,"Choline, from phosphotidyl choline",MG
1197,"Choline, from glycerophosphocholine",MG
1198,Betaine,MG
1199,"Choline, from sphingomyelin",MG
1200,p-Hydroxy benzoic acid,MG
1201,Caffeic acid,MG
1202,p-Coumaric acid,MG
1203,Ellagic acid,MG
1204,Ferrulic acid,MG
1205,Gentisic acid,MG
1206,Tyrosol,MG
1207,Vanillic acid,MG
1208,"Phenolic acids, total",MG
1209,"Polyphenols, total",MG
1210,Tryptophan,G
1211,Threonine,G
1212,Isoleucine,G
1213,Leucine,G
1214,Lysine,G
1215,Methionine,G
1216,Cystine,G
1217,Phenylalanine,G
1218,Tyrosine,G
1219,Valine,G
1220,Arginine,G
1221,Histidine,G
1222,Alanine,G
1223,Aspartic acid,G
1224,Glutamic acid,G
1225,Glycine,G
1226,Proline,G
1227,Serine,G
1228,Hydroxyproline,G
1229,Cysteine and methionine(sulfer containig AA),G
1230,Phenylalanine and tyrosine (aromatic  AA),G
1231,Asparagine,G
1232,Cysteine,G
1233,Glutamine,G
1234,Taurine,G
1235,"Sugars, added",G
1236,"Sugars, intrinsic",G
1237,"Calcium, added",MG
1238,"Iron, added",MG
1239,"Calcium, intrinsic",MG
1240,"Iron, intrinsic",MG
1241,"Vitamin C, added",MG
1242,"Vitamin E, added",MG
1243,"Thiamin, added",MG
1244,"Riboflavin, added",MG
1245,"Niacin, added",MG
1246,"Vitamin B-12, added",UG
1247,"Vitamin C, intrinsic",MG
1248,"Vitamin E, intrinsic",MG
1249,"Thiamin, intrinsic",MG
1250,"Riboflavin, intrinsic",MG
1251,"Niacin, intrinsic",MG
1252,"Vitamin B-12, intrinsic",UG
1253,Cholesterol,MG
1254,Glycerides,G
1255,Phospholipids,G
1256,Glycolipids,G
1257,"Fatty acids, total trans",G
