0,0,1,serving
0,1,1,serving
0,3,1,serving
0,4,2,tbsp
1,6,1,serving
1,7,4,boned
1,8,1,can
1,9,1,carton
2,10,1,serving
2,11,1,serving
3,8,1,serving
3,15,1,serving
3,16,1,serving
3,17,4,oz
4,4,1,serving
4,18,1,c
4,20,1,serving
4,21,1,serving
5,1,6,c
5,9,1,serving
5,22,1,serving
5,23,1,serving
5,24,1,serving
5,25,12,sliced
5,26,1,serving
6,2,1,tsp
6,28,1,serving
6,29,1,c
6,30,2,c
6,31,1,tsp
6,32,2,c
7,4,6,tsp
7,14,1,serving
7,28,1,serving
7,33,1,can
7,34,1,can
7,35,1,serving
8,36,1,serving
8,40,1,serving
9,42,1,serving
9,43,1,can
9,44,1,serving
9,45,1,c
9,46,1,serving
10,47,1,serving
10,49,1,serving
10,50,2,c
10,52,1,serving
11,4,1,serving
11,18,0,oz
11,20,1,box
11,21,12,oz
11,53,1,serving
12,15,1,serving
12,30,1,serving
12,54,1,serving
13,9,8,oz
13,11,8,oz
13,24,1,serving
13,55,1,serving
13,56,1,lb
13,57,1,pkg
13,58,1,serving
13,59,1,serving
13,60,1,serving
13,61,1,serving
14,42,1,serving
14,43,1,serving
14,62,1,can
14,63,2,tbsp
15,27,1,c
15,64,1,serving
15,65,1,qt
15,66,4,tbsp
15,67,4,tbsp
17,25,10,slices
17,71,1,serving
17,72,1,serving
17,74,1,c
17,75,2,tbsp
18,9,1,pt
18,42,1,serving
18,45,1,serving
18,76,1,lb
18,77,3,ripe
18,78,1,serving
19,3,1,c
19,30,1,serving
19,31,1,serving
19,73,1,c
19,81,1,serving
20,13,1,tsp
20,27,1,c
20,30,2,c
20,31,2,tsp
20,77,1,serving
20,82,1,serving
21,9,8,oz
21,82,1,serving
21,83,1,serving
21,84,1,pkg
21,85,1,serving
22,86,1,c
22,87,1,serving
22,88,1,serving
23,41,1,c
23,88,1,serving
23,89,6,cans
23,90,1,serving
23,91,1,tbsp
23,92,2,tbsp
23,93,1,tsp
24,28,1,serving
24,60,1,serving
24,94,1,c
25,13,2,tsp
25,30,1,serving
25,38,3,medium
